event_datetime,city,temperature,light,airquality_raw,sound,humidity,dust
2015-03-06T17:00:00.000Z,San Francisco,19.50786274,2661.347796,26.87539109,1659.485619,43.78632598,1115.479061
2015-03-06T18:00:00.000Z,San Francisco,20.64190147,2669.502743,26.44662792,1659.370904,39.96247615,1412.242552
2015-03-06T19:00:00.000Z,San Francisco,22.74726132,3371.710355,25.60728671,1678.56854,33.62143664,1127.192781
2015-03-06T20:00:00.000Z,San Francisco,25.41632332,5377.33647,25.66537705,1716.993327,27.54471074,1078.330614
2015-03-06T21:00:00.000Z,San Francisco,27.6832655,5370.903064,25.2071838,1743.307495,23.5872037,985.9956376
2015-03-06T22:00:00.000Z,San Francisco,27.47350228,5099.015084,22.97823056,1731.369572,23.31384164,1122.728231
2015-03-06T23:00:00.000Z,San Francisco,26.45990091,3486.329509,22.80584869,1715.85151,27.38044435,1177.921265
2015-03-07T00:00:00.000Z,San Francisco,24.34409256,2082.394534,23.02199205,1723.192621,31.29817242,1037.532947
2015-03-07T01:00:00.000Z,San Francisco,21.97145326,557.7956513,23.61761409,1698.51771,35.88641576,1151.541271
2015-03-07T02:00:00.000Z,San Francisco,20.68434355,21.94243235,23.54581247,1638.890066,36.88647641,1143.697774
2015-03-07T03:00:00.000Z,San Francisco,20.20645764,1.195258901,26.8109825,1594.184341,39.90065453,1541.594887
2015-03-07T04:00:00.000Z,San Francisco,19.44439947,1.052773613,27.08932618,1586.098821,42.54125919,988.235258
2015-03-07T05:00:00.000Z,San Francisco,18.55842875,0.849362591,26.6813633,1564.206277,46.26973564,992.6216345
2015-03-07T06:00:00.000Z,San Francisco,18.07707022,0.654872564,26.62955435,1564.924119,50.52883823,1385.329444
2015-03-07T07:00:00.000Z,San Francisco,17.72694773,0.231391201,27.47965429,1566.64779,51.82006877,1228.348753
2015-03-07T08:00:00.000Z,San Francisco,17.47772919,0.360841613,28.49465606,1587.945463,52.83550786,1195.54469
2015-03-07T09:00:00.000Z,San Francisco,17.06609768,0.140327294,28.89590766,1566.95014,55.20563359,1134.144587
2015-03-07T10:00:00.000Z,San Francisco,16.72177826,0.043155695,27.82008957,1559.310088,56.41129119,984.8373959
2015-03-07T11:00:00.000Z,San Francisco,16.49121725,0.068106351,29.21036548,1545.669127,56.2953549,973.863587
